,Id aluno,Idade,Concelho,Sexo,Matematica,Estatistica,Portugues,Ingles,Local do exame,Tipo de escola,Trabalhador estudante,Estado civil,Media,Aprovado
0,A0001,56,Faro,Feminino,11,4,16,16,Escola A,Publica,Nao,Casado,11.75,True
1,A0002,46,Braga,Feminino,14,9,4,4,Escola C,Privada,Nao,Outro,7.75,False
2,A0003,32,Braga,Feminino,7,3,19,11,Escola C,Privada,Nao,Solteiro,10.0,True
3,A0004,25,Faro,Masculino,5,4,8,0,Escola D,Privada,Sim,Solteiro,4.25,False
4,A0005,38,Porto,Feminino,9,9,20,9,Escola A,Privada,Sim,Casado,11.75,True
5,A0006,56,Coimbra,Masculino,2,10,19,10,Escola C,Publica,Sim,Solteiro,10.25,True
6,A0007,36,Coimbra,Masculino,18,20,6,15,Escola C,Privada,Sim,Solteiro,14.75,True
7,A0008,40,Coimbra,Feminino,16,9,3,13,Escola D,Privada,Sim,Casado,10.25,True
8,A0009,28,Braga,Feminino,6,7,12,7,Escola B,Privada,Sim,Solteiro,8.0,False
9,A0010,28,Braga,Feminino,20,1,12,16,Escola A,Publica,Nao,Casado,12.25,True
10,A0011,41,Porto,Masculino,19,7,9,17,Escola C,Privada,Nao,Outro,13.0,True
11,A0012,53,Coimbra,Feminino,3,15,17,11,Escola D,Publica,Sim,Outro,11.5,True
12,A0013,57,Coimbra,Feminino,13,4,16,16,Escola D,Privada,Nao,Outro,12.25,True
13,A0014,41,Faro,Masculino,19,2,19,13,Escola D,Privada,Sim,Casado,13.25,True
14,A0015,20,Braga,Feminino,14,11,19,15,Escola C,Privada,Sim,Casado,14.75,True
15,A0016,39,Coimbra,Masculino,7,12,12,13,Escola A,Publica,Nao,Solteiro,11.0,True
16,A0017,19,Porto,Feminino,20,12,16,8,Escola B,Publica,Sim,Solteiro,14.0,True
17,A0018,41,Porto,Masculino,14,9,3,3,Escola A,Publica,Sim,Solteiro,7.25,False
18,A0019,47,Coimbra,Feminino,19,3,0,10,Escola D,Publica,Sim,Solteiro,8.0,False
19,A0020,55,Braga,Feminino,13,8,0,5,Escola D,Publica,Nao,Solteiro,6.5,False
20,A0021,19,Porto,Masculino,8,1,14,14,Escola B,Publica,Nao,Casado,9.25,False
21,A0022,38,Faro,Masculino,7,18,12,4,Escola A,Privada,Nao,Casado,10.25,True
22,A0023,50,Porto,Feminino,16,0,16,10,Escola D,Publica,Nao,Outro,10.5,True
23,A0024,29,Lisboa,Masculino,1,6,7,17,Escola D,Privada,Sim,Outro,7.75,False
24,A0025,39,Lisboa,Masculino,2,16,17,12,Escola A,Publica,Nao,Outro,11.75,True
25,A0026,42,Braga,Masculino,7,2,12,10,Escola D,Publica,Nao,Outro,7.75,False
26,A0027,44,Coimbra,Masculino,11,19,13,13,Escola A,Publica,Nao,Casado,14.0,True
27,A0028,59,Braga,Feminino,0,19,7,17,Escola D,Privada,Sim,Casado,10.75,True
28,A0029,45,Braga,Feminino,9,20,7,18,Escola A,Publica,Nao,Casado,13.5,True
29,A0030,33,Braga,Masculino,19,2,14,14,Escola B,Publica,Nao,Solteiro,12.25,True
30,A0031,32,Braga,Masculino,2,2,12,8,Escola D,Privada,Sim,Solteiro,6.0,False
31,A0032,20,Faro,Masculino,5,16,6,7,Escola B,Privada,Sim,Outro,8.5,False
32,A0033,54,Faro,Masculino,6,6,4,19,Escola D,Privada,Sim,Solteiro,8.75,False
33,A0034,24,Porto,Feminino,19,13,16,0,Escola D,Privada,Sim,Casado,12.0,True
34,A0035,38,Lisboa,Feminino,17,16,15,3,Escola C,Publica,Nao,Outro,12.75,True
35,A0036,26,Braga,Masculino,10,17,1,13,Escola A,Privada,Sim,Outro,10.25,True
36,A0037,56,Porto,Masculino,18,12,17,1,Escola B,Publica,Nao,Solteiro,12.0,True
37,A0038,35,Lisboa,Masculino,4,19,16,15,Escola B,Publica,Nao,Outro,13.5,True
38,A0039,21,Coimbra,Feminino,18,19,6,2,Escola B,Privada,Nao,Solteiro,11.25,True
39,A0040,42,Faro,Masculino,10,20,12,7,Escola A,Publica,Nao,Solteiro,12.25,True
40,A0041,31,Lisboa,Feminino,11,17,17,5,Escola C,Privada,Nao,Outro,12.5,True
41,A0042,26,Coimbra,Masculino,9,3,13,15,Escola B,Publica,Sim,Solteiro,10.0,True
42,A0043,43,Lisboa,Feminino,7,0,17,15,Escola A,Privada,Nao,Solteiro,9.75,False
43,A0044,19,Faro,Masculino,8,17,12,6,Escola D,Privada,Nao,Solteiro,10.75,True
44,A0045,37,Faro,Feminino,3,0,10,12,Escola B,Privada,Nao,Solteiro,6.25,False
45,A0046,45,Porto,Masculino,4,12,20,12,Escola B,Privada,Sim,Outro,12.0,True
46,A0047,24,Braga,Masculino,20,19,20,4,Escola C,Privada,Nao,Casado,15.75,True
47,A0048,25,Lisboa,Masculino,7,19,15,19,Escola B,Privada,Nao,Casado,15.0,True
48,A0049,52,Lisboa,Feminino,8,9,16,17,Escola B,Publica,Sim,Solteiro,12.5,True
49,A0050,31,Coimbra,Masculino,14,10,7,14,Escola D,Publica,Nao,Solteiro,11.25,True
50,A0051,34,Faro,Feminino,14,8,18,17,Escola A,Publica,Nao,Solteiro,14.25,True
51,A0052,53,Lisboa,Feminino,15,8,19,1,Escola A,Privada,Sim,Casado,10.75,True
52,A0053,57,Faro,Masculino,13,4,14,9,Escola C,Publica,Nao,Solteiro,10.0,True
53,A0054,21,Lisboa,Masculino,7,0,8,12,Escola D,Privada,Nao,Outro,6.75,False
54,A0055,19,Porto,Masculino,17,16,19,17,Escola A,Publica,Nao,Outro,17.25,True
55,A0056,23,Braga,Feminino,9,1,9,14,Escola D,Publica,Nao,Outro,8.25,False
56,A0057,59,Lisboa,Masculino,19,12,11,11,Escola A,Privada,Nao,Casado,13.25,True
57,A0058,21,Faro,Feminino,5,8,20,14,Escola D,Publica,Sim,Solteiro,11.75,True
58,A0059,46,Porto,Feminino,11,3,19,12,Escola C,Publica,Sim,Solteiro,11.25,True
59,A0060,35,Lisboa,Masculino,1,4,0,17,Escola B,Publica,Sim,Solteiro,5.5,False
60,A0061,43,Coimbra,Masculino,6,10,19,14,Escola C,Privada,Nao,Casado,12.25,True
61,A0062,51,Braga,Masculino,15,18,8,10,Escola A,Publica,Nao,Casado,12.75,True
62,A0063,27,Lisboa,Masculino,2,20,14,18,Escola C,Privada,Nao,Casado,13.5,True
63,A0064,53,Porto,Masculino,12,2,0,2,Escola B,Publica,Sim,Casado,4.0,False
64,A0065,31,Coimbra,Masculino,2,11,11,6,Escola C,Publica,Nao,Outro,7.5,False
65,A0066,48,Porto,Feminino,17,18,2,20,Escola A,Publica,Nao,Casado,14.25,True
66,A0067,32,Porto,Feminino,10,18,10,13,Escola A,Publica,Nao,Casado,12.75,True
67,A0068,25,Coimbra,Feminino,7,12,1,13,Escola C,Privada,Sim,Casado,8.25,False
68,A0069,31,Porto,Masculino,5,6,15,12,Escola B,Publica,Sim,Solteiro,9.5,False
69,A0070,40,Coimbra,Feminino,0,14,8,11,Escola C,Privada,Nao,Solteiro,8.25,False
70,A0071,57,Lisboa,Feminino,0,6,14,8,Escola B,Privada,Nao,Solteiro,7.0,False
71,A0072,38,Coimbra,Feminino,7,7,11,0,Escola D,Publica,Nao,Outro,6.25,False
72,A0073,33,Coimbra,Feminino,4,4,0,18,Escola B,Publica,Sim,Outro,6.5,False
73,A0074,35,Braga,Feminino,15,20,12,10,Escola D,Privada,Sim,Casado,14.25,True
74,A0075,41,Coimbra,Masculino,10,13,13,18,Escola C,Privada,Sim,Solteiro,13.5,True
75,A0076,43,Coimbra,Masculino,4,3,7,17,Escola B,Publica,Nao,Outro,7.75,False
